DATA,PREÇO,PREÇO_DOLAR,CHUVA
28/12/15,30,"4,0245",0.0
04/01/16,54,"4,0479",105.7
11/01/16,62,"4,0945",4.6
18/01/16,56,"3,9988",161.4
25/01/16,64,"3,9035",9.0
01/02/16,50,"4,0027",15.0
08/02/16,56,"4,0214",0.0
15/02/16,60,"3,9933",12.2
22/02/16,60,"3,7593",0.0
29/02/16,60,"3,582",0.4
07/03/16,56,"3,624",4.3
14/03/16,50,"3,6835",0.0
21/03/16,50,"3,5538",0.0
28/03/16,46,"3,5901",7.8
04/04/16,46,"3,5332",0.0
11/04/16,44,"3,5646",2.7
18/04/16,46,"3,4358",0.0
25/04/16,50,"3,5023",0.0
02/05/16,62,"3,534",0.0
09/05/16,46,"3,5202",0.0
16/05/16,50,"3,6115",0.2
23/05/16,42,"3,524",0.0
30/05/16,38,"3,4188",0.0
06/06/16,26,"3,4163",0.0
13/06/16,26,"3,3739",0.0
20/06/16,25,"3,2361",1.2
27/06/16,14,"3,3005",1.0
04/07/16,12,"3,282",0.0
11/07/16,16,"3,2565",0.0
18/07/16,10,"3,2486",0.0
25/07/16,13,"3,166",0.0
01/08/16,12,"3,1925",0.2
08/08/16,12,"3,2038",0.0
15/08/16,18,"3,2655",0.0
22/08/16,11,"3,2568",0.4
29/08/16,12,"3,2735",0.0
05/09/16,14,"3,2622",0.0
12/09/16,16,"3,245",0.0
19/09/16,13,"3,2603",0.0
26/09/16,10,"3,2204",0.0
03/10/16,7,"3,2051",0.2
10/10/16,6,"3,1511",0.0
17/10/16,6,"3,2065",0.0
24/10/16,6,"3,2337",0.0
31/10/16,5,"3,3915",0.0
07/11/16,8,"3,3835",0.0
14/11/16,16,"3,4223",12.2
21/11/16,18,"3,4755",4.3
28/11/16,18,"3,3785",0.0
05/12/16,16,"3,392",0.0
12/12/16,18,"3,271",4.7
19/12/16,18,"3,2547",2.7
26/12/16,18,"3,2241",4.2
02/01/17,20,"3,2213",0.0
09/01/17,26,"3,169",0.0
16/01/17,18,"3,141",0.0
23/01/17,18,"3,1176",0.0
30/01/17,26,"3,1157",4.0
06/02/17,30,"3,1048",13.1
13/02/17,30,"3,111",0.0
20/02/17,26,"3,1158",64.4
27/02/17,24,"3,1395",5.4
06/03/17,26,"3,0918",0.0
13/03/17,26,"3,1086",0.6
20/03/17,24,"3,1233",0.0
27/03/17,20,"3,1462",5.6
03/04/17,24,"3,1448",6.3
10/04/17,20,"3,1482",0.0
17/04/17,22,"3,1766",0.0
24/04/17,26,"3,1774",0.0
01/05/17,28,"3,1218",0.0
08/05/17,18,"3,2529",0.0
15/05/17,18,"3,2601",0.0
22/05/17,16,"3,2483",3.0
29/05/17,16,"3,2971",0.0
05/06/17,18,"3,2933",0.0
12/06/17,18,"3,343",0.0
19/06/17,18,"3,3072",2.6
26/06/17,18,"3,2813",0.0
03/07/17,32,"3,1799",0.0
10/07/17,38,"3,1418",0.3
17/07/17,25,"3,1319",0.0
24/07/17,28,"3,1313",0.0
31/07/17,26,"3,1938",0.0
07/08/17,26,"3,1465",0.0
14/08/17,26,"3,1603",0.0
21/08/17,22,"3,1416",0.0
28/08/17,26,"3,0867",0.0
04/09/17,21,"3,1085",2.8
11/09/17,25,"3,125",3.2
18/09/17,25,"3,1619",0.3
25/09/17,26,"3,1561",0.0
02/10/17,22,"3,1452",0.0
09/10/17,23,"3,1926",0.0
16/10/17,26,"3,2363",0.0
23/10/17,24,"3,3144",0.0
30/10/17,20,"3,2779",0.0
06/11/17,20,"3,2574",0.0
13/11/17,18,"3,233",22.2
20/11/17,14,"3,2581",0.0
27/11/17,14,"3,2919",0.0
04/12/17,12,"3,2947",1.3
11/12/17,16,"3,337",10.6
18/12/17,16,"3,3125",0.0
25/12/17,16,"3,2292",1.7
01/01/18,20,"3,2064",0.0
08/01/18,28,"3,1962",14.6
15/01/18,26,"3,151",0.0
22/01/18,26,"3,2181",3.6
29/01/18,28,"3,2942",3.8
05/02/18,28,"3,2312",0.6
12/02/18,49,"3,2379",76.9
19/02/18,36,"3,2528",18.3
26/02/18,26,"3,2553",23.5
05/03/18,24,"3,2811",1.2
12/03/18,33,"3,3123",28.6
19/03/18,33,"3,3051",29.5
26/03/18,36,"3,3697",18.8
02/04/18,36,"3,4223",0.6
09/04/18,46,"3,413",18.0
16/04/18,50,"3,4568",8.7
23/04/18,72,"3,5303",0.0
30/04/18,74,"3,5999",1.8
07/05/18,58,"3,737",0.0
14/05/18,62,"3,6524",8.0
21/05/18,43,"3,7633",0.0
28/05/18,48,"3,7094",4.2
04/06/18,48,"3,7296",1.0
11/06/18,44,"3,786",0.0
18/06/18,34,"3,8771",0.0
25/06/18,28,"3,8628",2.6
02/07/18,26,"3,8518",0.0
09/07/18,20,"3,7681",0.0
16/07/18,14,"3,7114",0.0
23/07/18,14,"3,708",0.0
30/07/18,16,"3,8596",0.0
06/08/18,14,"3,9116",0.0
13/08/18,14,"4,102",0.0
20/08/18,12,"4,0556",0.0
27/08/18,12,"4,0597",1.2
03/09/18,10,"4,1742",0.0
10/09/18,10,"4,0516",0.0
17/09/18,10,"4,0491",0.0
24/09/18,8,"3,8413",0.0
01/10/18,8,"3,783",0.0
08/10/18,10,"3,7149",0.0
15/10/18,10,"3,6429",0.0
22/10/18,18,"3,6968",9.7
29/10/18,15,"3,7335",0.0
05/11/18,18,"3,7435",0.0
12/11/18,30,"3,8283",0.0
19/11/18,38,"3,8669",0.0
26/11/18,38,"3,9075",0.0
03/12/18,50,"3,9171",0.0
10/12/18,64,"3,904",42.3
17/12/18,54,"3,8813",6.1
24/12/18,50,"3,7155",0.0
07/01/19,56,"3,7113",0.0
14/01/19,54,"3,7517",0.0
21/01/19,54,"3,7708",0.0
28/01/19,50,"3,6597",0.0
04/02/19,50,"3,7292",2.8
11/02/19,40,"3,7008",0.0
18/02/19,40,"3,7485",7.0
25/02/19,40,"3,7752",10.4
04/03/19,34,"3,8668",7.7
11/03/19,42,"3,8144",19.4
18/03/19,42,"3,9071",30.9
25/03/19,42,"3,9247",27.6
01/04/19,50,"3,8735",1.9
08/04/19,50,"3,8819",4.4
15/04/19,40,"3,9275",29.6
22/04/19,30,"3,9293",26.8
29/04/19,25,"3,9382",0.0
06/05/19,20,"3,9572",4.4
13/05/19,40,"4,0999",0.0
20/05/19,34,"4,0225",5.0
27/05/19,34,"3,9228",0.0
03/06/19,40,"3,8789",16.6
10/06/19,50,"3,8958",0.0
17/06/19,48,"3,8192",0.0
24/06/19,58,"3,852",4.4
01/07/19,78,"3,8221",2.1
08/07/19,74,"3,7373",0.5
15/07/19,70,"3,7494",1.2
22/07/19,70,"3,7761",0.0
29/07/19,78,"3,8893",1.6
05/08/19,84,"3,9416",0.0
12/08/19,80,"4,0058",0.0
19/08/19,60,"4,1198",0.0
26/08/19,70,"4,1453",3.5
02/09/19,68,"4,0618",0.4
09/09/19,62,"4,0849",0.0
16/09/19,62,"4,148",0.0
23/09/19,34,"4,1602",0.0
30/09/19,54,"4,0556",0.0
07/10/19,32,"4,1097",1.0
