DATA,PREÇO,PREÇO_DOLAR
28/12/15,30,"4,0245"
04/01/16,54,"4,0479"
11/01/16,62,"4,0945"
18/01/16,56,"3,9988"
25/01/16,64,"3,9035"
01/02/16,50,"4,0027"
08/02/16,56,"4,0214"
15/02/16,60,"3,9933"
22/02/16,60,"3,7593"
29/02/16,60,"3,582"
07/03/16,56,"3,624"
14/03/16,50,"3,6835"
21/03/16,50,"3,5538"
28/03/16,46,"3,5901"
04/04/16,46,"3,5332"
11/04/16,44,"3,5646"
18/04/16,46,"3,4358"
25/04/16,50,"3,5023"
02/05/16,62,"3,534"
09/05/16,46,"3,5202"
16/05/16,50,"3,6115"
23/05/16,42,"3,524"
30/05/16,38,"3,4188"
06/06/16,26,"3,4163"
13/06/16,26,"3,3739"
20/06/16,25,"3,2361"
27/06/16,14,"3,3005"
04/07/16,12,"3,282"
11/07/16,16,"3,2565"
18/07/16,10,"3,2486"
25/07/16,13,"3,166"
01/08/16,12,"3,1925"
08/08/16,12,"3,2038"
15/08/16,18,"3,2655"
22/08/16,11,"3,2568"
29/08/16,12,"3,2735"
05/09/16,14,"3,2622"
12/09/16,16,"3,245"
19/09/16,13,"3,2603"
26/09/16,10,"3,2204"
03/10/16,7,"3,2051"
10/10/16,6,"3,1511"
17/10/16,6,"3,2065"
24/10/16,6,"3,2337"
31/10/16,5,"3,3915"
07/11/16,8,"3,3835"
14/11/16,16,"3,4223"
21/11/16,18,"3,4755"
28/11/16,18,"3,3785"
05/12/16,16,"3,392"
12/12/16,18,"3,271"
19/12/16,18,"3,2547"
26/12/16,18,"3,2241"
02/01/17,20,"3,2213"
09/01/17,26,"3,169"
16/01/17,18,"3,141"
23/01/17,18,"3,1176"
30/01/17,26,"3,1157"
06/02/17,30,"3,1048"
13/02/17,30,"3,111"
20/02/17,26,"3,1158"
27/02/17,24,"3,1395"
06/03/17,26,"3,0918"
13/03/17,26,"3,1086"
20/03/17,24,"3,1233"
27/03/17,20,"3,1462"
03/04/17,24,"3,1448"
10/04/17,20,"3,1482"
17/04/17,22,"3,1766"
24/04/17,26,"3,1774"
01/05/17,28,"3,1218"
08/05/17,18,"3,2529"
15/05/17,18,"3,2601"
22/05/17,16,"3,2483"
29/05/17,16,"3,2971"
05/06/17,18,"3,2933"
12/06/17,18,"3,343"
19/06/17,18,"3,3072"
26/06/17,18,"3,2813"
03/07/17,32,"3,1799"
10/07/17,38,"3,1418"
17/07/17,25,"3,1319"
24/07/17,28,"3,1313"
31/07/17,26,"3,1938"
07/08/17,26,"3,1465"
14/08/17,26,"3,1603"
21/08/17,22,"3,1416"
28/08/17,26,"3,0867"
04/09/17,21,"3,1085"
11/09/17,25,"3,125"
18/09/17,25,"3,1619"
25/09/17,26,"3,1561"
02/10/17,22,"3,1452"
09/10/17,23,"3,1926"
16/10/17,26,"3,2363"
23/10/17,24,"3,3144"
30/10/17,20,"3,2779"
06/11/17,20,"3,2574"
13/11/17,18,"3,233"
20/11/17,14,"3,2581"
27/11/17,14,"3,2919"
04/12/17,12,"3,2947"
11/12/17,16,"3,337"
18/12/17,16,"3,3125"
25/12/17,16,"3,2292"
01/01/18,20,"3,2064"
08/01/18,28,"3,1962"
15/01/18,26,"3,151"
22/01/18,26,"3,2181"
29/01/18,28,"3,2942"
05/02/18,28,"3,2312"
12/02/18,49,"3,2379"
19/02/18,36,"3,2528"
26/02/18,26,"3,2553"
05/03/18,24,"3,2811"
12/03/18,33,"3,3123"
19/03/18,33,"3,3051"
26/03/18,36,"3,3697"
02/04/18,36,"3,4223"
09/04/18,46,"3,413"
16/04/18,50,"3,4568"
23/04/18,72,"3,5303"
30/04/18,74,"3,5999"
07/05/18,58,"3,737"
14/05/18,62,"3,6524"
21/05/18,43,"3,7633"
28/05/18,48,"3,7094"
04/06/18,48,"3,7296"
11/06/18,44,"3,786"
18/06/18,34,"3,8771"
25/06/18,28,"3,8628"
02/07/18,26,"3,8518"
09/07/18,20,"3,7681"
16/07/18,14,"3,7114"
23/07/18,14,"3,708"
30/07/18,16,"3,8596"
06/08/18,14,"3,9116"
13/08/18,14,"4,102"
20/08/18,12,"4,0556"
27/08/18,12,"4,0597"
03/09/18,10,"4,1742"
10/09/18,10,"4,0516"
17/09/18,10,"4,0491"
24/09/18,8,"3,8413"
01/10/18,8,"3,783"
08/10/18,10,"3,7149"
15/10/18,10,"3,6429"
22/10/18,18,"3,6968"
29/10/18,15,"3,7335"
05/11/18,18,"3,7435"
12/11/18,30,"3,8283"
19/11/18,38,"3,8669"
26/11/18,38,"3,9075"
03/12/18,50,"3,9171"
10/12/18,64,"3,904"
17/12/18,54,"3,8813"
24/12/18,50,"3,7155"
07/01/19,56,"3,7113"
14/01/19,54,"3,7517"
21/01/19,54,"3,7708"
28/01/19,50,"3,6597"
04/02/19,50,"3,7292"
11/02/19,40,"3,7008"
18/02/19,40,"3,7485"
25/02/19,40,"3,7752"
04/03/19,34,"3,8668"
11/03/19,42,"3,8144"
18/03/19,42,"3,9071"
25/03/19,42,"3,9247"
01/04/19,50,"3,8735"
08/04/19,50,"3,8819"
15/04/19,40,"3,9275"
22/04/19,30,"3,9293"
29/04/19,25,"3,9382"
06/05/19,20,"3,9572"
13/05/19,40,"4,0999"
20/05/19,34,"4,0225"
27/05/19,34,"3,9228"
03/06/19,40,"3,8789"
10/06/19,50,"3,8958"
17/06/19,48,"3,8192"
24/06/19,58,"3,852"
01/07/19,78,"3,8221"
08/07/19,74,"3,7373"
15/07/19,70,"3,7494"
22/07/19,70,"3,7761"
