"Data","Último","Abertura","Máxima","Mínima","Var%"
"03.01.2016","4,0245","3,9608","4,0749","3,9590","1,61%"
"10.01.2016","4,0479","4,0245","4,0677","3,9707","0,58%"
"17.01.2016","4,0945","4,0484","4,1738","3,9985","1,15%"
"24.01.2016","3,9988","4,0946","4,1251","3,9928","-2,34%"
"31.01.2016","3,9035","3,9992","4,0280","3,8453","-2,38%"
"07.02.2016","4,0027","3,9037","4,0164","3,8820","2,54%"
"14.02.2016","4,0214","4,0027","4,0791","3,9672","0,47%"
"21.02.2016","3,9933","4,0206","4,0235","3,9205","-0,70%"
"28.02.2016","3,7593","3,9940","4,0236","3,6537","-5,86%"
"06.03.2016","3,5820","3,7582","3,8031","3,5725","-4,72%"
"13.03.2016","3,6240","3,5828","3,8540","3,5732","1,17%"
"20.03.2016","3,6835","3,6245","3,7217","3,5743","1,64%"
"27.03.2016","3,5538","3,6869","3,6889","3,5326","-3,52%"
"03.04.2016","3,5901","3,5536","3,7200","3,5470","1,02%"
"10.04.2016","3,5332","3,5869","3,5918","3,4575","-1,58%"
"17.04.2016","3,5646","3,5318","3,6188","3,4717","0,89%"
"24.04.2016","3,4358","3,5648","3,5701","3,4289","-3,61%"
"01.05.2016","3,5023","3,4364","3,5835","3,4341","1,94%"
"08.05.2016","3,5340","3,5025","3,6770","3,4361","0,91%"
"15.05.2016","3,5202","3,5316","3,6191","3,4819","-0,39%"
"22.05.2016","3,6115","3,5206","3,6303","3,5131","2,59%"
"29.05.2016","3,5240","3,6113","3,6381","3,5215","-2,42%"
"05.06.2016","3,4188","3,5278","3,5297","3,3565","-2,99%"
"12.06.2016","3,4163","3,4195","3,5157","3,4134","-0,07%"
"19.06.2016","3,3739","3,4177","3,4507","3,3318","-1,24%"
"26.06.2016","3,2361","3,3725","3,4167","3,1831","-4,08%"
"03.07.2016","3,3005","3,2336","3,3720","3,2300","1,99%"
"10.07.2016","3,2820","3,2999","3,3201","3,2172","-0,56%"
"17.07.2016","3,2565","3,2765","3,2965","3,2378","-0,78%"
"24.07.2016","3,2486","3,2568","3,2999","3,2283","-0,24%"
"31.07.2016","3,1660","3,2496","3,2936","3,1602","-2,54%"
"07.08.2016","3,1925","3,1644","3,1950","3,1130","0,84%"
"14.08.2016","3,2038","3,1918","3,2515","3,1564","0,35%"
"21.08.2016","3,2655","3,2070","3,2795","3,1849","1,93%"
"28.08.2016","3,2568","3,2663","3,2918","3,2163","-0,27%"
"04.09.2016","3,2735","3,2573","3,2864","3,1658","0,51%"
"11.09.2016","3,2622","3,2723","3,3681","3,2409","-0,35%"
"18.09.2016","3,2450","3,2632","3,2792","3,1813","-0,53%"
"25.09.2016","3,2603","3,2450","3,2706","3,2137","0,47%"
"02.10.2016","3,2204","3,2630","3,2639","3,1920","-1,22%"
"09.10.2016","3,2051","3,2227","3,2279","3,1647","-0,48%"
"16.10.2016","3,1511","3,2066","3,2180","3,1348","-1,68%"
"23.10.2016","3,2065","3,1515","3,2078","3,1026","1,76%"
"30.10.2016","3,2337","3,2045","3,2649","3,1638","0,85%"
"06.11.2016","3,3915","3,2348","3,5086","3,1630","4,88%"
"13.11.2016","3,3835","3,3927","3,4750","3,3715","-0,24%"
"20.11.2016","3,4223","3,3838","3,4687","3,3288","1,15%"
"27.11.2016","3,4755","3,4215","3,4928","3,3756","1,55%"
"04.12.2016","3,3785","3,4765","3,4821","3,3525","-2,79%"
"11.12.2016","3,3920","3,3775","3,4126","3,3017","0,40%"
"18.12.2016","3,2710","3,3920","3,4037","3,2575","-3,57%"
"25.12.2016","3,2547","3,2720","3,2969","3,2416","-0,50%"
"01.01.2017","3,2241","3,2534","3,2923","3,1871","-0,94%"
"08.01.2017","3,2213","3,2250","3,2323","3,1528","-0,09%"
"15.01.2017","3,1690","3,2236","3,2445","3,1689","-1,62%"
"22.01.2017","3,1410","3,1695","3,1954","3,1398","-0,88%"
"29.01.2017","3,1176","3,1391","3,1631","3,1012","-0,74%"
"05.02.2017","3,1157","3,1193","3,1376","3,1058","-0,06%"
"12.02.2017","3,1048","3,1147","3,1286","3,0396","-0,35%"
"19.02.2017","3,1110","3,1019","3,1195","3,0524","0,20%"
"26.02.2017","3,1158","3,1115","3,1633","3,0905","0,15%"
"05.03.2017","3,1395","3,1158","3,1996","3,1012","0,76%"
"12.03.2017","3,0918","3,1387","3,1829","3,0875","-1,52%"
"19.03.2017","3,1086","3,0928","3,1515","3,0606","0,54%"
"26.03.2017","3,1233","3,1077","3,1785","3,1073","0,47%"
"02.04.2017","3,1462","3,1231","3,1593","3,0802","0,73%"
"09.04.2017","3,1448","3,1465","3,1599","3,1145","-0,04%"
"16.04.2017","3,1482","3,1448","3,1711","3,0878","0,11%"
"23.04.2017","3,1766","3,1505","3,2149","3,1181","0,90%"
"30.04.2017","3,1774","3,1774","3,1968","3,1413","0,03%"
"07.05.2017","3,1218","3,1753","3,2077","3,1164","-1,75%"
"14.05.2017","3,2529","3,1225","3,4093","3,0873","4,20%"
"21.05.2017","3,2601","3,2533","3,3190","3,2470","0,22%"
"28.05.2017","3,2483","3,2670","3,2774","3,2151","-0,36%"
"04.06.2017","3,2971","3,2471","3,3026","3,2471","1,50%"
"11.06.2017","3,2933","3,2967","3,3340","3,2641","-0,12%"
"18.06.2017","3,3430","3,2901","3,3488","3,2801","1,51%"
"25.06.2017","3,3072","3,3453","3,3453","3,2708","-1,07%"
"02.07.2017","3,2813","3,3194","3,3317","3,2679","-0,78%"
"09.07.2017","3,1799","3,2802","3,2814","3,1782","-3,09%"
"16.07.2017","3,1418","3,1806","3,1875","3,1099","-1,20%"
"23.07.2017","3,1319","3,1393","3,1773","3,1283","-0,32%"
"30.07.2017","3,1313","3,1328","3,1446","3,1077","-0,02%"
"06.08.2017","3,1938","3,1311","3,2210","3,1189","2,00%"
"13.08.2017","3,1465","3,1763","3,2060","3,1404","-1,48%"
"20.08.2017","3,1603","3,1492","3,1909","3,1330","0,44%"
"27.08.2017","3,1416","3,1593","3,1766","3,1223","-0,59%"
"03.09.2017","3,0867","3,1402","3,1448","3,0819","-1,75%"
"10.09.2017","3,1085","3,0903","3,1505","3,0790","0,71%"
